_id,studentName,email,rollNo,password,semester,createdAt,updatedAt,__v
696c96075a15757d2cc84271,Areeba Gul,areeba.khan@student.com,4b-cs-01,123321,6953a1206022d3b1f34bfeed,2025-01-11T09:15:00.000Z,2026-01-18T16:06:47.279Z,
696c96075a15757d2cc84273,Fatima Noor,fatima.noor@student.comm,4b-cs-02,$2b$10$QmGO6rgE.N5hFfYJuJEwj.u6Mjd1CHThtDoy2JT0j5HKSsjDaUwN6,6953a1206022d3b1f34bfeed,2025-01-13T11:45:00.000Z,2026-01-18T16:56:23.047Z,
696c96075a15757d2cc84275,Maryam Iqbal,maryam.iqbal@student.com,4b-cs-03,Maryam@123,6953a1206022d3b1f34bfeef,2025-01-15T09:40:00.000Z,2025-01-15T09:40:00.000Z,
696c96075a15757d2cc84277,Areeba Khan 2,areeba.khan2@student.com,4b-cs-04,Areeba@123,6953a1206022d3b1f34bfef1,2025-01-17T08:00:00.000Z,2025-01-17T08:00:00.000Z,
696c96075a15757d2cc84278,Hamza Ali 2,hamza.ali2@student.com,4b-cs-05,Hamza@123,6953a1206022d3b1f34bfeea,2025-01-18T08:00:00.000Z,2025-01-18T08:00:00.000Z,
696c96075a15757d2cc84279,Fatima Noor 2,fatima.noor2@student.com,4b-cs-06,Fatima@123,6953a1206022d3b1f34bfeec,2025-01-19T08:00:00.000Z,2025-01-19T08:00:00.000Z,
696c96075a15757d2cc8427a,Zain Malik 2,zain.malik2@student.com,4b-cs-07,Zain@123,6953a1206022d3b1f34bfeea,2025-01-20T08:00:00.000Z,2025-01-20T08:00:00.000Z,
696c96075a15757d2cc8427b,Maryam Iqbal 2,maryam.iqbal2@student.com,4b-cs-08,Maryam@123,6953a1206022d3b1f34bfeef,2025-01-21T08:00:00.000Z,2025-01-21T08:00:00.000Z,
696c96075a15757d2cc8427c,Usman Riaz,usman.riaz@student.com,4b-cs-09,Usman@123,6953a1206022d3b1f34bfeef,2025-01-22T08:00:00.000Z,2025-01-22T08:00:00.000Z,
696c96075a15757d2cc8427d,Hira Shah,hira.shah@student.com,4b-cs-10,Hira@123,6953a1206022d3b1f34bfeea,2025-01-23T08:00:00.000Z,2025-01-23T08:00:00.000Z,
696c96075a15757d2cc8427e,Bilal Ahmed,bilal.ahmed@student.com,5b-cs-01,Bilal@123,6953a1206022d3b1f34bfeeb,2025-01-24T08:00:00.000Z,2025-01-24T08:00:00.000Z,
696c96075a15757d2cc8427f,Noor Fatima,noor.fatima@student.com,5b-cs-02,Noor@123,6953a1206022d3b1f34bfef0,2025-01-25T08:00:00.000Z,2025-01-25T08:00:00.000Z,
